instance,-40,-30,-20,-10,-5,-2,-1,1,2,5,10,20,30,40,best_k
37,0.4826,2.9846,5.8999,15.2882,177.0228,39.3625,204.0354,35.0957,183.2454,7.7126,0.0389,0.2779,0.562,0.2779,10
38,2.1228,4.8521,5.7345,10.4037,175.2141,34.6276,201.3523,21.822,181.598,11.9549,0.494,0.494,0.494,0.494,20
39,1.1294,1.7823,4.5135,9.1091,133.4637,26.5172,204.5405,24.069,188.6103,9.3529,0.4219,0.4219,0.5309,0.5324,20
40,1.646,1.646,6.8784,12.106,150.0025,28.9112,202.5529,20.9944,172.8795,10.2332,1.5831,0.1435,0.1435,0.1435,20
41,2.2731,4.1696,7.3615,14.5106,170.1433,34.3734,226.0092,23.5779,190.101,12.4592,1.6278,-0.0,-0.0,-0.0,20
42,2.0789,1.6439,4.4459,9.3213,176.6871,25.9025,201.6453,29.9197,190.3971,6.8871,0.4188,0.3159,0.4109,0.4188,20
43,1.1431,4.9395,12.1861,18.1334,168.8172,38.3548,208.7003,19.9153,171.9694,8.2384,0.014,1.1431,0.7807,0.7807,10
44,5.266,6.9737,8.0006,9.8312,199.9083,41.907,232.7842,25.0745,211.4925,7.4683,2.4834,1.3937,0.8125,0.4009,40
45,1.5118,4.1551,3.544,14.0247,196.5409,33.9231,217.8935,24.2939,184.72,8.1106,-0.0,-0.0,-0.0,-0.0,20
46,2.807,7.6041,10.8198,15.0248,192.8391,48.0446,220.1888,24.1764,197.2319,6.9937,1.1966,0.7506,0.7506,0.7506,30
47,1.8983,1.1439,1.2761,10.8532,184.3216,22.256,194.5955,17.7389,184.1702,9.4165,1.6969,0.677,0.8019,0.0,40
48,2.0676,3.5957,6.3104,13.4918,159.006,27.4616,188.3843,22.7933,168.2907,12.5069,0.9007,0.8824,0.8824,0.8824,30
49,2.4205,3.8351,7.0637,16.9392,169.0491,26.6321,197.7474,24.6919,193.3635,8.2865,0.587,0.4206,-0.0,0.3975,30
50,3.3462,3.4034,5.0259,17.6892,161.0619,36.2539,221.4776,35.2504,210.7145,9.9224,0.0344,0.9843,0.9843,0.9843,10
51,1.7469,2.9617,6.7752,10.5048,146.5882,33.3038,197.1515,33.0429,165.2115,10.6888,1.8854,1.2817,1.0855,1.2261,30
52,3.5047,5.775,7.2971,18.335,182.552,45.4241,234.8861,20.3987,211.0853,8.8992,0.4048,2.038,0.4048,0.4048,10
53,1.4361,1.4361,7.5065,15.856,168.0215,38.6851,223.1759,18.4563,197.3128,6.1203,0.046,0.4637,0.4637,0.4637,10
54,0.3053,1.3984,5.6051,14.371,158.6872,35.3372,170.873,17.4821,166.7758,3.9332,1.1506,0.3053,0.3053,0.3053,20
55,1.5644,4.0385,7.2845,13.8151,150.1014,34.1066,202.2946,31.612,173.1848,13.2217,1.5495,0.4045,0.4045,0.2236,40
56,0.9487,1.204,1.9944,8.4343,181.022,28.2366,194.012,15.2814,184.0731,8.755,0.0855,0.0855,0.0701,0.0701,40
57,2.237,5.8684,9.4981,13.3098,193.1651,34.927,224.1196,31.3903,193.1725,6.3092,1.7639,0.1391,0.1391,0.1391,20
58,1.2114,3.0479,4.8392,13.6217,178.6846,29.6892,211.367,27.7378,174.6086,8.5892,1.2114,0.9648,0.3519,0.3519,30
59,0.0731,2.0754,3.3107,4.4544,153.3786,23.1207,196.1172,11.8985,164.5909,7.1848,-0.0,-0.0,-0.0,-0.0,20
60,2.3408,4.5906,5.6904,10.8774,187.6006,40.4869,224.7005,28.9911,201.2706,8.2196,1.0315,1.0315,2.6335,2.6335,10
61,2.4881,2.2169,4.0496,12.9349,187.3315,32.9228,212.3499,24.2337,182.2252,10.7434,0.5373,0.0566,0.0565,0.0566,30
62,0.9908,1.6418,5.9958,10.2356,179.6806,29.2381,209.1707,28.9204,188.2115,9.3797,0.744,0.0745,0.0599,0.06,30
63,3.3095,2.9233,8.4436,13.3526,162.487,33.9714,212.1404,22.1825,198.29,9.2264,1.8452,1.6439,1.6439,1.6439,20
64,1.2214,2.0309,4.8434,7.4763,163.9819,22.593,200.5038,32.1477,182.7515,9.8636,1.7964,1.2053,1.2053,1.2154,20
65,1.2986,0.7077,4.1035,17.5136,145.1574,23.0111,232.9434,16.2332,200.5445,13.0569,0.7077,0.2303,0.2303,0.2303,20
66,0.592,3.119,7.9501,14.978,150.057,29.871,220.3153,30.2208,192.921,9.8956,0.8048,0.7938,0.7938,0.7938,-40
