instance,-40,-30,-20,-10,-5,-2,-1,1,2,5,10,20,30,40,lkh_cost,best_k
70,1.584738,1.648344,1.807969,2.118569,6.372132,2.865109,6.465025,2.393856,6.446612,1.907824,1.536036,1.517469,1.521469,1.520232,1.491782,20
71,1.723469,1.776461,1.91336,2.13208,6.493454,2.739088,6.598636,2.561425,6.468049,2.005674,1.649606,1.6147,1.606077,1.612559,1.590668,30
72,1.643517,1.708567,1.826957,2.127016,6.264311,2.80044,6.286652,2.375302,6.164286,1.927841,1.572465,1.544155,1.546623,1.543549,1.524699,40
73,1.675183,1.723543,1.919837,2.22076,6.497084,2.743781,6.465118,2.491563,6.456034,2.039388,1.618254,1.598415,1.597566,1.59204,1.565208,40
74,1.686495,1.764065,1.936609,2.117884,6.619676,2.816998,6.599684,2.664589,6.594183,2.009394,1.67149,1.621965,1.615444,1.605284,1.584709,40
75,1.691166,1.765668,1.988444,2.329657,6.491752,2.897931,6.762656,2.453303,6.603968,1.968245,1.66716,1.615856,1.61219,1.61233,1.580248,30
76,1.726271,1.790099,1.862312,2.194598,6.632366,2.880751,6.689664,2.591368,6.598655,1.94646,1.647416,1.604752,1.589591,1.595429,1.559701,30
77,1.648431,1.697395,1.806436,2.154335,6.405768,2.732014,6.50014,2.451467,6.381346,2.008488,1.625363,1.597932,1.586631,1.585912,1.555804,40
78,1.770032,1.810426,1.957826,2.181063,6.723183,2.86786,6.775593,2.697432,6.782678,2.017468,1.691839,1.666764,1.653161,1.650282,1.638445,40
79,1.704133,1.753827,1.899034,2.228497,6.744144,2.987963,6.801352,2.497591,6.706822,1.991018,1.635352,1.603509,1.605674,1.600212,1.580697,40
80,1.802672,1.843172,2.019357,2.364581,7.117159,3.169787,7.134406,2.720808,7.030672,2.171002,1.783197,1.745038,1.745206,1.742219,1.725697,40
81,1.679605,1.747758,1.901761,2.189166,6.808881,3.086024,6.817307,2.521944,6.72958,2.106785,1.638251,1.609214,1.604413,1.598809,1.579891,40
82,1.675444,1.713505,1.835175,2.139182,6.500485,2.76136,6.599734,2.406721,6.562495,1.879752,1.637402,1.599757,1.597236,1.586111,1.559005,40
83,1.709341,1.793536,1.923506,2.141321,6.476642,2.79511,6.472597,2.433415,6.432364,2.077763,1.648786,1.611625,1.611808,1.615158,1.59151,20
84,1.789362,1.851525,1.921807,2.300787,6.537124,2.85173,6.53064,2.508551,6.541656,2.003322,1.738038,1.722751,1.714784,1.722201,1.682942,30
85,1.652348,1.698228,1.823119,2.057242,6.385576,2.675714,6.379564,2.473631,6.331182,1.948719,1.615335,1.585931,1.585796,1.58524,1.571416,40
86,1.723032,1.759567,1.861818,2.263461,6.658668,2.928406,6.677674,2.550572,6.67392,1.988778,1.671847,1.645741,1.635697,1.638774,1.614224,30
87,1.745624,1.816396,1.980593,2.288234,6.589194,2.928548,6.65933,2.408645,6.623712,2.113269,1.656294,1.628355,1.619035,1.610387,1.595264,40
88,1.711585,1.740488,1.879497,2.166027,6.62736,2.740834,6.628945,2.493529,6.54734,2.005366,1.661479,1.625849,1.619065,1.619826,1.598397,30
89,1.611605,1.667637,1.797724,2.068726,6.36225,2.682856,6.394315,2.355042,6.317752,1.867217,1.577215,1.523254,1.528032,1.519526,1.492902,40
